National Team,Position,Club Name,Club Country,DOB,Age,Height,Weight
Morocco,GK,IRT Tanger,MAR,05.04.1996,22,186,70
Morocco,MF,Standard Liège,BEL,01.07.1989,28,176,67
Nigeria,GK,Enyimba FC,NGA,16.10.1988,29,181,80
Nigeria,DF,FK Amkar Perm,RUS,18.05.1992,26,179,75
Nigeria,DF,Cercle Brugge,BEL,20.01.1988,30,185,82
Nigeria,MF,Leicester City FC,ENG,16.12.1996,21,184,73
Nigeria,DF,Bursaspor,TUR,01.09.1993,24,191,85
Nigeria,DF,FSV Mainz 05,GER,28.06.1988,29,190,89
Nigeria,FW,CSKA Moscow,RUS,14.10.1992,25,173,65
Nigeria,MF,UD Las Palmas,ESP,09.11.1995,22,174,74
Nigeria,FW,Changchun Yatai,CHN,16.06.1989,28,188,83
Nigeria,MF,Tianjin Teda,CHN,22.04.1987,31,188,82
Nigeria,FW,Chelsea FC,ENG,12.12.1990,27,177,75
Nigeria,DF,Bursaspor,TUR,12.03.1993,25,182,75
Nigeria,FW,FC Crotone,ITA,07.05.1992,26,197,89
Nigeria,FW,Leicester City FC,ENG,10.03.1996,22,183,80
Nigeria,MF,Torino FC,ITA,22.05.1991,27,177,77
Nigeria,GK,Chippa United FC,RSA,08.03.1986,32,187,94
Nigeria,MF,Trabzonspor,TUR,25.12.1992,25,172,74
Nigeria,FW,Arsenal FC,ENG,03.05.1996,22,185,86
Nigeria,MF,Hapoel Be'er Sheva FC,ISR,20.04.1988,30,191,90
Nigeria,DF,FC Nantes,FRA,01.01.1997,21,192,76
Nigeria,DF,ADO Den Haag,NED,16.12.1995,22,187,74
Nigeria,DF,Kasimpasa SK,TUR,17.10.1993,24,185,82
Nigeria,GK,Deportivo La Coruña,ESP,28.10.1998,19,196,91
Panama,GK,Dinamo Bucharest,ROU,26.09.1981,36,183,70
Panama,DF,New York Red Bulls,USA,11.02.1996,22,183,78
Panama,DF,San Jose Earthquakes,USA,01.03.1992,26,183,92
Panama,DF,New York Red Bulls,USA,09.01.1995,23,182,82
Panama,DF,Seattle Sounders FC,USA,20.03.1986,32,188,99
Panama,MF,Atlético Bucaramanga,COL,29.05.1984,34,183,82
Panama,FW,CSD Municipal,GUA,13.03.1981,37,187,83
Panama,MF,Cafetaleros de Tapachula,MEX,23.10.1993,24,175,72
Panama,FW,CD Huachipato,CHI,31.10.1988,29,180,77
Panama,FW,Deportivo La Coruña,ESP,12.05.1997,21,181,72
Panama,MF,Club Universidad de Chile,CHI,26.11.1987,30,173,72
Panama,GK,Chorrillo FC,PAN,14.08.1985,32,187,87
Panama,DF,Houston Dynamo,USA,14.02.1985,33,182,78
Panama,MF,Plaza Amador,PAN,30.05.1991,27,189,80
Panama,DF,DAC Dunajska Streda,SVK,31.03.1991,27,180,81
Panama,FW,LD Alajuelense,CRC,13.12.1993,24,183,82
Panama,DF,CD Olimpia,HON,07.09.1988,29,178,75
Panama,FW,Sport Boys,PER,28.03.1982,36,183,87
Panama,MF,Universitario Lima,PER,18.12.1987,30,165,62
Panama,MF,San Jose Earthquakes,USA,10.02.1990,28,183,82
Panama,MF,KAA Gent,BEL,19.06.1998,19,180,77
Panama,GK,San Francisco FC,PAN,05.08.1990,27,197,83
Panama,DF,CSD Municipal,GUA,24.02.1981,37,185,87
Peru,GK,CD Tiburones Rojos de Veracruz,MEX,23.02.1990,28,189,79
Peru,DF,Atletico Junior,COL,31.03.1984,34,179,78
Peru,DF,Universitario Lima,PER,20.05.1989,29,172,75
Peru,DF,Puebla FC,MEX,10.01.1992,26,183,84
Peru,DF,Alianza Lima,PER,24.10.1994,23,178,77
Peru,DF,CR Flamengo,BRA,25.08.1992,25,169,74
Peru,MF,Vitoria Guimaraes,POR,27.07.1990,27,174,66
Peru,MF,Sao Paulo FC,BRA,23.11.1991,26,169,69
Peru,FW,CR Flamengo,BRA,01.01.1984,34,185,88
Peru,FW,FC Lokomotiv Moscow,RUS,26.10.1984,33,177,85
Peru,FW,CA Monarcas Morelia,MEX,25.07.1990,27,169,67
Peru,GK,Deportivo Municipal,PER,27.09.1991,26,184,78
Peru,MF,Feyenoord Rotterdam,NED,28.07.1995,22,185,85
Peru,MF,Portland Timbers,USA,29.09.1994,23,174,71
Peru,DF,CD Tiburones Rojos de Veracruz,MEX,04.11.1988,29,182,72
Peru,MF,CD Tiburones Rojos de Veracruz,MEX,23.09.1994,23,179,76
Peru,DF,Lobos BUAP,MEX,02.03.1990,28,178,80
Peru,FW,Watford FC,ENG,14.06.1991,27,182,77
Peru,MF,Orlando City SC,USA,07.04.1990,28,172,69
Peru,FW,Aalborg BK,DEN,14.05.1994,24,170,72
Peru,GK,Universidad Técnica de Cajamarca,PER,01.03.1986,32,182,84
Peru,DF,FBC Melgar,PER,26.10.1994,23,179,68
Peru,MF,Lobos BUAP,MEX,13.04.1995,23,174,71
Poland,GK,Juventus FC,ITA,18.04.1990,28,195,84
Poland,DF,Legia Warsaw,POL,21.09.1987,30,181,78
Poland,DF,Legia Warsaw,POL,04.11.1987,30,189,78
Poland,DF,SPAL Ferrara,ITA,21.04.1986,32,184,81
Poland,DF,Southampton FC,ENG,12.04.1996,22,189,77
Poland,MF,PFC Ludogorets Razgrad,BUL,21.09.1992,25,172,66
Poland,FW,SSC Napoli,ITA,28.02.1994,24,186,81
Poland,MF,UC Sampdoria,ITA,02.02.1995,23,176,73
Poland,FW,FC Bayern München,GER,21.08.1988,29,185,79
Poland,MF,West Bromwich Albion FC,ENG,29.01.1990,28,186,83
Poland,MF,Hull City FC,ENG,08.06.1988,30,180,78
Poland,GK,Ipswich Town FC,ENG,06.07.1987,30,194,83
Poland,MF,FC Lokomotiv Moscow,RUS,19.08.1989,28,173,75
Poland,FW,RSC Anderlecht,BEL,03.06.1991,27,185,78
Poland,DF,AS Monaco,FRA,03.02.1988,30,190,80
Poland,MF,VfL Wolfsburg,GER,14.12.1985,32,175,71
Poland,MF,Lechia Gdansk,POL,19.02.1985,33,173,68
Poland,DF,UC Sampdoria,ITA,12.07.1992,25,182,72
Poland,MF,SSC Napoli,ITA,20.05.1994,24,177,64
Poland,DF,Borussia Dortmund,GER,03.06.1985,33,184,79
Poland,MF,Gornik Zabrze,POL,29.01.1993,25,182,73
Poland,GK,Swansea City AFC,WAL,18.04.1985,33,190,83
Poland,FW,UC Sampdoria,ITA,14.03.1997,21,185,75
Portugal,GK,Sporting CP,POR,15.02.1988,30,189,84
Portugal,DF,Rangers FC,SCO,27.11.1981,36,187,83
Portugal,DF,Besiktas JK,TUR,26.02.1983,35,188,81
Portugal,MF,FC Lokomotiv Moscow,RUS,05.02.1986,32,174,69
Portugal,DF,Borussia Dortmund,GER,22.12.1993,24,170,64
Portugal,DF,Dalian Yifang FC,CHN,22.12.1983,34,191,84
Portugal,FW,Real Madrid CF,ESP,05.02.1985,33,185,80
Portugal,MF,AS Monaco,FRA,08.09.1986,31,170,61
Portugal,FW,AC Milan,ITA,06.11.1995,22,184,78
Portugal,MF,West Ham United FC,ENG,19.01.1993,25,179,73
Portugal,MF,Manchester City FC,ENG,10.08.1994,23,173,65
Portugal,GK,Olympique Lyon,FRA,01.10.1990,27,184,81
Portugal,DF,SL Benfica,POR,14.05.1997,21,187,83
Portugal,MF,Sporting CP,POR,07.04.1992,26,190,80
Portugal,DF,FC Porto,POR,06.10.1993,24,174,70
Portugal,MF,Sporting CP,POR,08.09.1994,23,183,64
Portugal,FW,Valencia CF,ESP,29.11.1996,21,179,72
Portugal,FW,Sporting CP,POR,11.05.1995,23,173,63
Portugal,DF,SSC Napoli,ITA,27.05.1991,27,168,67
Portugal,FW,Besiktas JK,TUR,26.09.1983,34,175,73
Portugal,DF,Southampton FC,ENG,31.08.1991,26,172,67
Portugal,GK,Goztepe SK,TUR,01.05.1982,36,183,79
Portugal,MF,Leicester City FC,ENG,15.03.1989,29,176,72
Russia,GK,CSKA Moscow,RUS,08.04.1986,32,185,83
Russia,DF,CSKA Moscow,RUS,19.09.1990,27,187,79
Russia,DF,FC Spartak Moscow,RUS,29.07.1993,24,190,82
Russia,DF,CSKA Moscow,RUS,14.07.1979,38,186,84
Russia,DF,FC Akhmat Grozny,RUS,24.03.1989,29,191,87
Russia,MF,Villarreal CF,ESP,26.12.1990,27,173,68
Russia,MF,FC Zenit St. Petersburg,RUS,15.01.1993,25,182,74
Russia,MF,FC Krasnodar,RUS,20.07.1989,28,180,75
Russia,MF,CSKA Moscow,RUS,17.06.1990,27,178,73
Russia,FW,FC Krasnodar,RUS,09.02.1990,28,185,79
Russia,MF,FC Spartak Moscow,RUS,11.02.1994,24,185,77
Russia,GK,FC Zenit St. Petersburg,RUS,13.11.1991,26,189,80
Russia,DF,FC Rubin Kazan,RUS,05.04.1987,31,187,78
Russia,DF,FC Rubin Kazan,RUS,22.05.1987,31,184,80
Russia,MF,FC Lokomotiv Moscow,RUS,17.10.1995,22,185,77
Russia,MF,FC Lokomotiv Moscow,RUS,17.10.1995,22,182,67
Russia,MF,CSKA Moscow,RUS,30.05.1996,22,178,70
Russia,MF,FC Zenit St. Petersburg,RUS,20.08.1983,34,180,76
Russia,MF,FC Spartak Moscow,RUS,19.07.1984,33,178,74
Russia,GK,Club Brugge KV,BEL,19.10.1983,34,190,81
Russia,MF,FC Zenit St. Petersburg,RUS,13.10.1989,28,191,79
Russia,FW,FC Arsenal Tula,RUS,22.08.1988,29,196,90
Russia,DF,FC Zenit St. Petersburg,RUS,08.08.1988,29,179,72
Saudi Arabia,GK,Al Hilal SFC,KSA,23.01.1987,31,178,98
Saudi Arabia,DF,Al Ahli SC,KSA,19.10.1987,30,173,68
Saudi Arabia,DF,Al Hilal SFC,KSA,31.03.1984,34,188,83
Saudi Arabia,DF,Al Hilal SFC,KSA,21.11.1989,28,182,83
Saudi Arabia,DF,Al Nassr FC,KSA,27.09.1985,32,185,76
Saudi Arabia,DF,Al Hilal SFC,KSA,15.09.1992,25,173,61
Saudi Arabia,MF,Al Hilal SFC,KSA,01.08.1989,28,179,63
Saudi Arabia,MF,CD Leganés,ESP,26.06.1990,27,165,63
Saudi Arabia,MF,Al Shabab FC,KSA,16.07.1992,25,170,66
Saudi Arabia,FW,Al Nassr FC,KSA,10.01.1987,31,179,75
Saudi Arabia,MF,Al Hilal SFC,KSA,13.03.1986,32,177,73
Saudi Arabia,MF,Al Hilal SFC,KSA,22.09.1994,23,192,73
Saudi Arabia,DF,Al Hilal SFC,KSA,25.05.1992,26,170,63
Saudi Arabia,MF,Al Hilal SFC,KSA,03.08.1992,25,177,66
Saudi Arabia,MF,Al Shabab FC,KSA,16.08.1996,21,175,66
Saudi Arabia,MF,Al Ahli SC,KSA,24.03.1988,30,174,76
Saudi Arabia,MF,Al Ahli SC,KSA,25.07.1984,33,169,69
Saudi Arabia,MF,Villarreal CF,ESP,19.08.1991,26,174,68
Saudi Arabia,FW,Levante UD,ESP,14.09.1994,23,168,65
Saudi Arabia,FW,Al Ahli SC,KSA,14.10.1986,31,185,79
Saudi Arabia,GK,Al Ahli SC,KSA,27.02.1984,34,186,88
Saudi Arabia,GK,Al Ahli SC,KSA,10.10.1991,26,187,79
Saudi Arabia,DF,Al Ahli SC,KSA,17.02.1992,26,180,79
Senegal,GK,Stade Rennais FC,FRA,30.03.1992,26,189,79
Senegal,DF,Valenciennes FC,FRA,15.06.1989,28,173,69
Senegal,DF,SSC Napoli,ITA,20.06.1991,26,195,89
Senegal,DF,RSC Anderlecht,BEL,22.11.1989,28,192,85
Senegal,MF,Everton FC,ENG,26.09.1989,28,174,64
Senegal,MF,Hannover 96,GER,25.08.1990,27,196,84
Senegal,FW,Bursaspor,TUR,19.01.1986,32,180,75
Senegal,MF,West Ham United FC,ENG,21.12.1989,28,189,75
Senegal,FW,Stoke City FC,ENG,16.12.1987,30,185,81
Senegal,FW,Liverpool FC,ENG,10.04.1992,26,175,69
Senegal,MF,Birmingham City FC,ENG,29.03.1986,32,192,90
Senegal,DF,FC Girondins Bordeaux,FRA,05.03.1993,25,174,71
Senegal,MF,Wolverhampton Wanderers FC,ENG,06.03.1990,28,186,80
Senegal,FW,Amiens SC,FRA,03.04.1993,25,180,78
Senegal,FW,Stade Rennais FC,FRA,24.12.1989,28,184,79
Senegal,GK,Horoya AC,GUI,05.04.1985,33,185,80
Senegal,MF,Stoke City FC,ENG,27.10.1990,27,181,74
Senegal,FW,Stade Rennais FC,FRA,25.02.1998,20,175,70
Senegal,FW,Torino FC,ITA,19.12.1994,23,184,74
Senegal,FW,AS Monaco,FRA,08.03.1995,23,181,77
Senegal,DF,Adanaspor,TUR,20.10.1989,28,181,74
Senegal,DF,KAS Eupen,BEL,04.10.1998,19,177,70
Senegal,GK,SPAL Ferrara,ITA,05.09.1993,24,196,80
Serbia,GK,FK Partizan,SRB,28.07.1983,34,195,92
Serbia,DF,Villarreal CF,ESP,26.01.1984,34,177,71
Serbia,DF,Besiktas JK,TUR,19.01.1985,33,185,79
Serbia,MF,Crystal Palace FC,ENG,07.04.1991,27,186,80
Serbia,DF,RSC Anderlecht,BEL,13.02.1993,25,188,82
Serbia,DF,FC Zenit St. Petersburg,RUS,22.02.1984,34,185,89
Serbia,MF,SL Benfica,POR,11.07.1996,21,169,68
Serbia,FW,PAOK FC,GRE,21.04.1990,28,191,88
Serbia,FW,Fulham FC,ENG,16.09.1994,23,189,82
Serbia,MF,Southampton FC,ENG,20.11.1988,29,181,76
Serbia,DF,AS Roma,ITA,10.11.1985,32,187,83
Serbia,GK,Maccabi Tel-Aviv FC,ISR,31.10.1995,22,191,85
Serbia,DF,SV Werder Bremen,GER,26.09.1995,22,188,77
Serbia,DF,FK Crvena Zvezda,SRB,02.04.1991,27,185,69
Serbia,DF,ACF Fiorentina,ITA,12.10.1997,20,195,90
Serbia,MF,Cardiff City FC,WAL,13.04.1996,22,190,82
Serbia,MF,Hamburger SV,GER,01.11.1992,25,184,82
Serbia,FW,FK Crvena Zvezda,SRB,15.02.1996,22,185,76
Serbia,FW,Eintracht Frankfurt,GER,23.12.1997,20,181,75
Serbia,MF,SS Lazio,ITA,27.02.1995,23,192,76
Serbia,MF,Manchester United FC,ENG,01.08.1988,29,194,86
Serbia,MF,Torino FC,ITA,29.09.1991,26,182,74
Serbia,GK,SD Eibar,ESP,24.01.1992,26,194,90
Spain,GK,Manchester United FC,ENG,07.11.1990,27,190,71
Spain,DF,Real Madrid CF,ESP,11.01.1992,26,173,73
Spain,DF,FC Barcelona,ESP,02.02.1987,31,194,85
Spain,DF,Real Madrid CF,ESP,18.01.1990,28,179,77
Spain,MF,FC Barcelona,ESP,16.07.1988,29,189,78
Spain,MF,FC Barcelona,ESP,11.05.1984,34,171,68
Spain,MF,Atletico Madrid,ESP,21.11.1994,23,183,76
Spain,MF,Atletico Madrid,ESP,08.01.1992,26,176,73
Spain,FW,Valencia CF,ESP,06.03.1991,27,182,72
Spain,MF,FC Bayern München,GER,11.04.1991,27,174,70
Spain,FW,Real Madrid CF,ESP,01.07.1991,26,173,70
Spain,DF,Real Sociedad,ESP,14.12.1995,22,178,67
Spain,GK,Athletic Bilbao,ESP,03.10.1994,23,189,84
Spain,DF,Chelsea FC,ENG,28.08.1989,28,178,78
Spain,DF,Real Madrid CF,ESP,30.03.1986,32,183,75
Spain,DF,Arsenal FC,ENG,26.02.1986,32,179,72
Spain,FW,Celta Vigo,ESP,01.08.1987,30,176,67
Spain,DF,FC Barcelona,ESP,21.03.1989,29,170,68
Spain,FW,Atletico Madrid,ESP,07.10.1988,29,185,86
Spain,MF,Real Madrid CF,ESP,21.01.1996,22,182,76
Spain,FW,Manchester City FC,ENG,08.01.1986,32,170,67
Spain,MF,Real Madrid CF,ESP,21.04.1992,26,176,74
Spain,GK,SSC Napoli,ITA,31.08.1982,35,188,92
Sweden,GK,FC Kobenhavn,DEN,08.01.1990,28,198,89
Sweden,DF,Celtic FC,SCO,13.12.1986,31,189,77
Sweden,DF,Manchester United FC,ENG,17.07.1994,23,187,81
Sweden,DF,FC Krasnodar,RUS,16.04.1985,33,192,84
Sweden,DF,Swansea City AFC,WAL,17.05.1988,30,177,81
Sweden,DF,SV Werder Bremen,GER,21.04.1994,24,181,76
Sweden,MF,Hull City FC,ENG,06.06.1985,33,178,70
Sweden,MF,Hamburger SV,GER,28.07.1989,28,186,75
Sweden,FW,Al Ain FC,UAE,17.08.1986,31,183,76
Sweden,MF,RB Leipzig,GER,23.10.1991,26,179,78
Sweden,FW,Deportivo Alavés,ESP,15.04.1992,26,185,79
Sweden,GK,EA Guingamp,FRA,28.01.1990,28,187,83
Sweden,MF,Seattle Sounders FC,USA,07.02.1987,31,183,77
Sweden,DF,Bologna FC,ITA,22.04.1993,25,192,83
Sweden,MF,Genoa CFC,ITA,28.06.1992,25,184,73
Sweden,DF,Bologna FC,ITA,02.08.1994,23,181,72
Sweden,MF,FC Krasnodar,RUS,02.01.1992,26,183,79
Sweden,DF,Leeds United FC,ENG,13.02.1991,27,194,89
Sweden,MF,FC Crotone,ITA,11.05.1991,27,182,76
Sweden,FW,Toulouse FC,FRA,03.07.1986,31,192,78
Sweden,MF,Toulouse FC,FRA,22.03.1989,29,180,69
Sweden,FW,KV Waasland-Beveren,BEL,24.06.1992,25,189,83
Sweden,GK,Swansea City AFC,WAL,23.06.1989,28,190,85
Switzerland,GK,VfL Borussia Mönchengladbach,GER,17.12.1988,29,183,81
Switzerland,DF,Juventus FC,ITA,16.01.1984,34,181,77
Switzerland,DF,Toulouse FC,FRA,21.06.1990,27,180,76
Switzerland,DF,VfL Borussia Mönchengladbach,GER,30.09.1996,21,187,77
Switzerland,DF,Borussia Dortmund,GER,19.07.1995,22,186,85
Switzerland,DF,FC Basel,SUI,08.02.1991,27,185,78
Switzerland,FW,FC Schalke 04,GER,14.02.1997,21,184,86
Switzerland,MF,Atalanta Bergamo,ITA,15.04.1992,26,181,75
Switzerland,FW,SL Benfica,POR,22.02.1992,26,186,88
Switzerland,MF,Arsenal FC,ENG,27.09.1992,25,183,82
Switzerland,MF,Udinese Calcio,ITA,19.04.1985,33,184,78
Switzerland,GK,RB Leipzig,GER,06.06.1994,24,186,84
Switzerland,DF,AC Milan,ITA,25.08.1992,25,180,79
Switzerland,MF,TSG 1899 Hoffenheim,GER,17.08.1991,26,182,79
Switzerland,MF,Bologna FC,ITA,12.04.1986,32,180,77
Switzerland,MF,Eintracht Frankfurt,GER,02.09.1986,31,180,72
Switzerland,MF,VfL Borussia Mönchengladbach,GER,20.11.1996,21,189,77
Switzerland,FW,GNK Dinamo Zagreb,CRO,24.11.1989,28,175,75
Switzerland,FW,VfL Borussia Mönchengladbach,GER,08.08.1992,25,184,78
Switzerland,DF,Antalyaspor AS,TUR,18.01.1987,31,192,90
Switzerland,GK,Borussia Dortmund,GER,14.11.1990,27,188,83
Switzerland,DF,Deportivo La Coruña,ESP,20.12.1991,26,186,83
Switzerland,MF,Stoke City FC,ENG,10.10.1991,26,165,78
Tunisia,GK,Al Shabab FC,KSA,01.07.1989,28,192,85
Tunisia,DF,Kasimpasa SK,TUR,31.03.1989,29,189,87
Tunisia,DF,Leicester City FC,ENG,28.03.1987,31,185,75
Tunisia,DF,CS Sfaxien,TUN,02.07.1993,24,183,70
Tunisia,DF,Dijon FCO,FRA,28.01.1992,26,185,76
Tunisia,DF,Étoile du Sahel,TUN,19.01.1990,28,187,77
Tunisia,FW,ES Troyes,FRA,27.04.1995,23,180,76
Tunisia,FW,Al Ittifaq FC,KSA,23.06.1991,26,189,80
Tunisia,MF,ES Tunis,TUN,18.09.1990,27,178,70
Tunisia,FW,Stade Rennais FC,FRA,08.02.1991,27,182,76
Tunisia,DF,KAA Gent,BEL,19.06.1995,22,186,75
Tunisia,DF,Al Ahly SC,EGY,01.01.1990,28,170,72
Tunisia,MF,Al Nassr FC,KSA,18.03.1992,26,186,80
Tunisia,MF,Al Ahli SC,KSA,03.05.1992,26,180,75
Tunisia,FW,Club Africain,TUN,21.12.1994,23,187,75
Tunisia,GK,Al Batin FC,KSA,14.09.1984,33,182,84
Tunisia,MF,Montpellier HSC,FRA,10.05.1995,23,185,69
Tunisia,FW,OGC Nice,FRA,25.06.1997,20,176,71
Tunisia,FW,Club Africain,TUN,14.10.1986,31,185,72
Tunisia,FW,ES Tunis,TUN,28.02.1994,24,179,70
Tunisia,DF,Zamalek,EGY,28.10.1992,25,186,75
Tunisia,GK,LB Chateauroux,FRA,05.03.1995,23,186,70
Tunisia,FW,Dijon FCO,FRA,27.07.1992,25,173,65
Uruguay,GK,Galatasaray SK,TUR,16.06.1986,31,190,74
Uruguay,DF,Atletico Madrid,ESP,20.01.1995,23,185,77
Uruguay,DF,Atletico Madrid,ESP,16.02.1986,32,185,73
Uruguay,DF,CA Penarol,URU,24.03.1993,25,173,70
Uruguay,MF,CF Monterrey,MEX,02.12.1984,33,171,74
Uruguay,MF,Juventus FC,ITA,25.06.1997,20,187,73
Uruguay,MF,CA Penarol,URU,30.09.1985,32,178,79
Uruguay,MF,CA Boca Juniors,ARG,28.12.1995,22,171,61
Uruguay,FW,FC Barcelona,ESP,24.01.1987,31,182,85
Uruguay,FW,Cruzeiro EC,BRA,01.06.1994,24,172,64
Uruguay,FW,Girona FC,ESP,12.10.1986,31,186,78
Uruguay,GK,CA Independiente,ARG,29.05.1989,29,184,79
Uruguay,DF,CA Independiente,ARG,05.03.1994,24,185,74
Uruguay,MF,UC Sampdoria,ITA,11.02.1996,22,168,61
Uruguay,MF,FC Internazionale,ITA,24.08.1991,26,189,80
Uruguay,DF,FC Porto,POR,08.06.1984,34,173,73
Uruguay,MF,Genoa CFC,ITA,07.02.1993,25,178,66
Uruguay,FW,Celta Vigo,ESP,14.08.1996,21,186,85
Uruguay,DF,Sporting CP,POR,07.10.1990,27,196,89
Uruguay,FW,CF Monterrey,MEX,19.03.1990,28,172,66
Uruguay,FW,Paris Saint-Germain FC,FRA,14.02.1987,31,188,78
Uruguay,DF,SS Lazio,ITA,07.04.1987,31,178,75
Uruguay,GK,CR Vasco da Gama,BRA,25.03.1983,35,187,82
